price_list_type,id,unique_id,brand,model,model_id,full_name,fullname_color_full,fullname_hotline,width,diameter,pcd,pcd2,et,dia,color,color_short,color_id,type,type_id,bolt_count,bolt_count_pcd,provider_id,provider,city,city_ua,tt_provider,foreign_id,update_date,in_stock,source_price_wholesale,source_price_wholesale_original,source_price_wholesale_original_currency,source_price_retail,user_price_wholesale,user_price,user_delivery_price,user_price_plus_user_delivery_price,offer_num,photo_file_name,photo_url,size_only_digits
Диски,1545972,2001545972,Диск,NoName,1,Диск NoName 9x22.5 10x335 ET175 DIA281,Диск NoName 9x22.5 10x335 ET175 DIA281,Диск NoName (R22.5 W9 PCD10x335 ET175 DIA281),9,"22,5",335,0,175,281,,,,,,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,27585,2022-10-04 09:21,20,4600,4600,uah,0,4600,0,0,0,1,disk/1.10.400x400.jpg,disk/1.10.400x400.jpg,2259335010281175
Диски,1893513,2001893513,Диск,NoName,1,Диск NoName 11.75x22.5 10x335 ET0 DIA281 S,Диск NoName 11.75x22.5 10x335 ET0 DIA281 Silver (Серебро),Диск NoName (R22.5 W11.75 PCD10x335 ET0 DIA281 S),"11,75","22,5",335,0,0,281,Silver (Серебро),S,64,,,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,27706,2022-10-04 09:21,4,5750,5750,uah,0,5750,0,0,0,1,disk/1.64.400x400.jpg,disk/1.64.400x400.jpg,22511753350102810
Диски,1901305,2001901305,Диск,NoName,1,Диск NoName 6.75x17.5 10x225 ET135 DIA176,Диск NoName 6.75x17.5 10x225 ET135 DIA176,Диск NoName (R17.5 W6.75 PCD10x225 ET135 DIA176),"6,75","17,5",225,0,135,176,,,,,,10,10x225,1724,100Шин,Одесса,Одеса,od_100Шин,27224,2022-10-04 09:21,1,3440,3440,uah,0,3440,0,0,0,1,disk/1.10.400x400.jpg,disk/1.10.400x400.jpg,175675225010176135
Диски,1921355,2001921355,Диск,NoName,1,Диск NoName 9x22.5 10x335 ET175 DIA281 S,Диск NoName 9x22.5 10x335 ET175 DIA281 Silver (Серебро),Диск NoName (R22.5 W9 PCD10x335 ET175 DIA281 S),9,"22,5",335,0,175,281,Silver (Серебро),S,64,,,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,27705,2022-10-04 09:21,14,5000,5000,uah,0,5000,0,0,0,1,disk/1.64.400x400.jpg,disk/1.64.400x400.jpg,2259335010281175
Диски,1563674,2001563674,Kapitan,Сталь,6397,Kapitan Сталь 6.75x17.5 6x222.25 ET140 DIA164,Kapitan Сталь 6.75x17.5 6x222.25 ET140 DIA164,Kapitan Сталь (R17.5 W6.75 PCD6x222.25 ET140 DIA164),"6,75","17,5","222,25",0,140,164,,,,стальной,1,6,6x222.25,1724,100Шин,Одесса,Одеса,od_100Шин,26906,2022-10-04 09:21,4,1800,1800,uah,0,1800,0,0,0,1,disk/6397.10.400x400.jpg,disk/6397.10.400x400.jpg,1756752222506164140
Диски,1898319,2001898319,Kapitan,Сталь,6397,Kapitan Сталь 14x19.5 8x275 ET120 DIA221,Kapitan Сталь 14x19.5 8x275 ET120 DIA221,Kapitan Сталь (R19.5 W14 PCD8x275 ET120 DIA221),14,"19,5",275,0,120,221,,,,стальной,1,8,8x275,1724,100Шин,Одесса,Одеса,od_100Шин,12047,2022-10-04 09:21,1,4750,4750,uah,0,4750,0,0,0,1,disk/6397.10.400x400.jpg,disk/6397.10.400x400.jpg,1951427508221120
Диски,1920902,2001920902,Дорожная Карта,,6398,Дорожная Карта  11.75x22.5 10x335 ET135 DIA281 S,Дорожная Карта  11.75x22.5 10x335 ET135 DIA281 Silver (Серебро),Дорожная Карта  (R22.5 W11.75 PCD10x335 ET135 DIA281 S),"11,75","22,5",335,0,135,281,Silver (Серебро),S,64,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,27105,2022-10-04 09:21,2,5900,5900,uah,0,5900,0,0,0,1,disk/6398.64.400x400.jpg,disk/6398.64.400x400.jpg,2251175335010281135
Диски,1920904,2001920904,Дорожная Карта,,6398,Дорожная Карта  11.75x22.5 10x335 ET120 DIA281 S,Дорожная Карта  11.75x22.5 10x335 ET120 DIA281 Silver (Серебро),Дорожная Карта  (R22.5 W11.75 PCD10x335 ET120 DIA281 S),"11,75","22,5",335,0,120,281,Silver (Серебро),S,64,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,2014,2022-10-04 09:21,1,5500,5500,uah,0,5500,0,0,0,1,disk/6398.64.400x400.jpg,disk/6398.64.400x400.jpg,2251175335010281120
Диски,1131745,2001131745,Better,Сталь,6480,Better Сталь 9x22.5 10x335 ET175 DIA281 S,Better Сталь 9x22.5 10x335 ET175 DIA281 Silver (Серебро),Better Сталь (R22.5 W9 PCD10x335 ET175 DIA281 S),9,"22,5",335,0,175,281,Silver (Серебро),S,64,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,28233,2022-10-04 09:21,20,4700,4700,uah,0,4700,0,0,0,1,disk/6480.64.400x400.jpg,disk/6480.64.400x400.jpg,2259335010281175
Диски,1132488,2001132488,Better,Сталь,6480,Better Сталь 11.75x22.5 10x335 ET0 DIA281 S,Better Сталь 11.75x22.5 10x335 ET0 DIA281 Silver (Серебро),Better Сталь (R22.5 W11.75 PCD10x335 ET0 DIA281 S),"11,75","22,5",335,0,0,281,Silver (Серебро),S,64,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,85,2022-10-04 09:21,1,5400,5400,uah,0,5400,0,0,0,1,disk/6480.64.400x400.jpg,disk/6480.64.400x400.jpg,22511753350102810
Диски,1884866,2001884866,Better,Сталь,6480,Better Сталь 6x17.5 6x205 ET127 DIA161 S,Better Сталь 6x17.5 6x205 ET127 DIA161 Silver (Серебро),Better Сталь (R17.5 W6 PCD6x205 ET127 DIA161 S),6,"17,5",205,0,127,161,Silver (Серебро),S,64,стальной,1,6,6x205,1724,100Шин,Одесса,Одеса,od_100Шин,39,2022-10-04 09:21,15,3000,3000,uah,0,3000,0,0,0,1,disk/6480.64.400x400.jpg,disk/6480.64.400x400.jpg,175620506161127
Диски,1902028,2001902028,Better,Сталь,6480,Better Сталь 8.25x22.5 10x335 ET168 DIA281 S,Better Сталь 8.25x22.5 10x335 ET168 DIA281 Silver (Серебро),Better Сталь (R22.5 W8.25 PCD10x335 ET168 DIA281 S),"8,25","22,5",335,0,168,281,Silver (Серебро),S,64,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,69,2022-10-04 09:21,18,4850,4850,uah,0,4850,0,0,0,1,disk/6480.64.400x400.jpg,disk/6480.64.400x400.jpg,225825335010281168
Диски,1904383,2001904383,Better,Сталь,6480,Better Сталь 6x17.5 6x222.25 ET127 DIA164 S,Better Сталь 6x17.5 6x222.25 ET127 DIA164 Silver (Серебро),Better Сталь (R17.5 W6 PCD6x222.25 ET127 DIA164 S),6,"17,5","222,25",0,127,164,Silver (Серебро),S,64,стальной,1,6,6x222.25,1724,100Шин,Одесса,Одеса,od_100Шин,41,2022-10-04 09:21,5,2900,2900,uah,0,2900,0,0,0,1,disk/6480.64.400x400.jpg,disk/6480.64.400x400.jpg,17562222506164127
Диски,1904388,2001904388,Better,Сталь,6480,Better Сталь 11.75x22.5 10x335 ET120 DIA281 S,Better Сталь 11.75x22.5 10x335 ET120 DIA281 Silver (Серебро),Better Сталь (R22.5 W11.75 PCD10x335 ET120 DIA281 S),"11,75","22,5",335,0,120,281,Silver (Серебро),S,64,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,28232,2022-10-04 09:21,20,5250,5250,uah,0,5250,0,0,0,1,disk/6480.64.400x400.jpg,disk/6480.64.400x400.jpg,2251175335010281120
Диски,1914770,2001914770,Better,Сталь,6480,Better Сталь 11.75x22.5 10x335 ET135 DIA281 S,Better Сталь 11.75x22.5 10x335 ET135 DIA281 Silver (Серебро),Better Сталь (R22.5 W11.75 PCD10x335 ET135 DIA281 S),"11,75","22,5",335,0,135,281,Silver (Серебро),S,64,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,28242,2022-10-04 09:21,20,5270,5270,uah,0,5270,0,0,0,1,disk/6480.64.400x400.jpg,disk/6480.64.400x400.jpg,2251175335010281135
Диски,1888928,2001888928,Hayes Lemmerz,Сталь,7543,Hayes Lemmerz Сталь 11.75x22.5 10x335 ET0 DIA281 S,Hayes Lemmerz Сталь 11.75x22.5 10x335 ET0 DIA281 Silver (Серебро),Hayes Lemmerz Сталь (R22.5 W11.75 PCD10x335 ET0 DIA281 S),"11,75","22,5",335,0,0,281,Silver (Серебро),S,64,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,84,2022-10-04 09:21,6,6500,6500,uah,0,6500,0,0,0,1,disk/7543.64.400x400.jpg,disk/7543.64.400x400.jpg,22511753350102810
Диски,1888929,2001888929,Hayes Lemmerz,Сталь,7543,Hayes Lemmerz Сталь 11.75x22.5 10x335 ET120 DIA281 S,Hayes Lemmerz Сталь 11.75x22.5 10x335 ET120 DIA281 Silver (Серебро),Hayes Lemmerz Сталь (R22.5 W11.75 PCD10x335 ET120 DIA281 S),"11,75","22,5",335,0,120,281,Silver (Серебро),S,64,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,22715,2022-10-04 09:21,15,6700,6700,uah,0,6700,0,0,0,1,disk/7543.64.400x400.jpg,disk/7543.64.400x400.jpg,2251175335010281120
Диски,1888930,2001888930,Hayes Lemmerz,Сталь,7543,Hayes Lemmerz Сталь 13x22.5 10x335 ET0 DIA281 S,Hayes Lemmerz Сталь 13x22.5 10x335 ET0 DIA281 Silver (Серебро),Hayes Lemmerz Сталь (R22.5 W13 PCD10x335 ET0 DIA281 S),13,"22,5",335,0,0,281,Silver (Серебро),S,64,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,78,2022-10-04 09:21,2,7500,7500,uah,0,7500,0,0,0,1,disk/7543.64.400x400.jpg,disk/7543.64.400x400.jpg,225133350102810
Диски,1888944,2001888944,Hayes Lemmerz,Сталь,7543,Hayes Lemmerz Сталь 14x19.5 10x335 ET0 DIA281 S,Hayes Lemmerz Сталь 14x19.5 10x335 ET0 DIA281 Silver (Серебро),Hayes Lemmerz Сталь (R19.5 W14 PCD10x335 ET0 DIA281 S),14,"19,5",335,0,0,281,Silver (Серебро),S,64,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,54,2022-10-04 09:21,4,6880,6880,uah,0,6880,0,0,0,1,disk/7543.64.400x400.jpg,disk/7543.64.400x400.jpg,195143350102810
Диски,1888945,2001888945,Hayes Lemmerz,Сталь,7543,Hayes Lemmerz Сталь 9x22.5 10x335 ET161 DIA281 S,Hayes Lemmerz Сталь 9x22.5 10x335 ET161 DIA281 Silver (Серебро),Hayes Lemmerz Сталь (R22.5 W9 PCD10x335 ET161 DIA281 S),9,"22,5",335,0,161,281,Silver (Серебро),S,64,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,27443,2022-10-04 09:21,20,6980,6980,uah,0,6980,0,0,0,1,disk/7543.64.400x400.jpg,disk/7543.64.400x400.jpg,2259335010281161
Диски,1888946,2001888946,Hayes Lemmerz,Сталь,7543,Hayes Lemmerz Сталь 11.75x22.5 10x335 ET135 DIA281 S,Hayes Lemmerz Сталь 11.75x22.5 10x335 ET135 DIA281 Silver (Серебро),Hayes Lemmerz Сталь (R22.5 W11.75 PCD10x335 ET135 DIA281 S),"11,75","22,5",335,0,135,281,Silver (Серебро),S,64,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,23913,2022-10-04 09:21,20,7500,7500,uah,0,7500,0,0,0,1,disk/7543.64.400x400.jpg,disk/7543.64.400x400.jpg,2251175335010281135
Диски,1914768,2001914768,Hayes Lemmerz,Сталь,7543,Hayes Lemmerz Сталь 6x17.5 6x222.25 ET126 DIA164 S,Hayes Lemmerz Сталь 6x17.5 6x222.25 ET126 DIA164 Silver (Серебро),Hayes Lemmerz Сталь (R17.5 W6 PCD6x222.25 ET126 DIA164 S),6,"17,5","222,25",0,126,164,Silver (Серебро),S,64,стальной,1,6,6x222.25,1724,100Шин,Одесса,Одеса,od_100Шин,43,2022-10-04 09:21,1,4630,4630,uah,0,4630,0,0,0,1,disk/7543.64.400x400.jpg,disk/7543.64.400x400.jpg,17562222506164126
Диски,1917194,2001917194,Hayes Lemmerz,Сталь,7543,Hayes Lemmerz Сталь 8.25x22.5 10x335 ET157 DIA281 S,Hayes Lemmerz Сталь 8.25x22.5 10x335 ET157 DIA281 Silver (Серебро),Hayes Lemmerz Сталь (R22.5 W8.25 PCD10x335 ET157 DIA281 S),"8,25","22,5",335,0,157,281,Silver (Серебро),S,64,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,70,2022-10-04 09:21,1,6900,6900,uah,0,6900,0,0,0,1,disk/7543.64.400x400.jpg,disk/7543.64.400x400.jpg,225825335010281157
Диски,1903007,2001903007,Дорожная Карта,Обод под клинья,11204,Дорожная Карта Обод под клинья 8.25x22.5 0x0 ET120 DIA0 S,Дорожная Карта Обод под клинья 8.25x22.5 0x0 ET120 DIA0 Silver (Серебро),Дорожная Карта Обод под клинья (R22.5 W8.25 PCD0x0 ET120 DIA0 S),"8,25","22,5",0,0,120,0,Silver (Серебро),S,64,стальной,1,0,0x0,1724,100Шин,Одесса,Одеса,od_100Шин,13160,2022-10-04 09:21,1,4700,4700,uah,0,4700,0,0,0,1,disk/11204.64.400x400.jpg,disk/11204.64.400x400.jpg,2258250000120
Диски,1916490,2001916490,Better,Обод под клинья,11274,Better Обод под клинья 7.5x22.5 0x0 ET110 DIA0 S,Better Обод под клинья 7.5x22.5 0x0 ET110 DIA0 Silver (Серебро),Better Обод под клинья (R22.5 W7.5 PCD0x0 ET110 DIA0 S),"7,5","22,5",0,0,110,0,Silver (Серебро),S,64,стальной,1,0,0x0,1724,100Шин,Одесса,Одеса,od_100Шин,28238,2022-10-04 09:21,10,4500,4500,uah,0,4500,0,0,0,1,disk/11274.64.400x400.jpg,disk/11274.64.400x400.jpg,225750000110
Диски,1903024,2001903024,Kapitan,Обод под клинья,11275,Kapitan Обод под клинья 9x22.5 0x0 ET127 DIA0 S,Kapitan Обод под клинья 9x22.5 0x0 ET127 DIA0 Silver (Серебро),Kapitan Обод под клинья (R22.5 W9 PCD0x0 ET127 DIA0 S),9,"22,5",0,0,127,0,Silver (Серебро),S,64,стальной,1,0,0x0,1724,100Шин,Одесса,Одеса,od_100Шин,27892,2022-10-04 09:21,2,3960,3960,uah,0,3960,0,0,0,1,disk/11275.64.400x400.jpg,disk/11275.64.400x400.jpg,22590000127
Диски,1916466,2001916466,Akojant,Сталь,13378,Akojant Сталь 11.75x22.5 10x335 ET0 DIA281,Akojant Сталь 11.75x22.5 10x335 ET0 DIA281,Akojant Сталь (R22.5 W11.75 PCD10x335 ET0 DIA281),"11,75","22,5",335,0,0,281,,,,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,25359,2022-10-04 09:21,1,5000,5000,uah,0,5000,0,0,0,1,,,22511753350102810
Диски,1916468,2001916468,Akojant,Сталь,13378,Akojant Сталь 11.75x22.5 10x335 ET135 DIA281,Akojant Сталь 11.75x22.5 10x335 ET135 DIA281,Akojant Сталь (R22.5 W11.75 PCD10x335 ET135 DIA281),"11,75","22,5",335,0,135,281,,,,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,25944,2022-10-04 09:21,8,3630,3630,uah,0,3630,0,0,0,1,,,2251175335010281135
Диски,1916469,2001916469,Akojant,Сталь,13378,Akojant Сталь 8.25x22.5 10x335 ET165 DIA281,Akojant Сталь 8.25x22.5 10x335 ET165 DIA281,Akojant Сталь (R22.5 W8.25 PCD10x335 ET165 DIA281),"8,25","22,5",335,0,165,281,,,,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,25945,2022-10-04 09:21,2,4900,4900,uah,0,4900,0,0,0,1,,,225825335010281165
Диски,1916684,2001916684,Akojant,Сталь,13378,Akojant Сталь 6x17.5 6x205 ET115 DIA161,Akojant Сталь 6x17.5 6x205 ET115 DIA161,Akojant Сталь (R17.5 W6 PCD6x205 ET115 DIA161),6,"17,5",205,0,115,161,,,,стальной,1,6,6x205,1724,100Шин,Одесса,Одеса,od_100Шин,25353,2022-10-04 09:21,20,3190,3190,uah,0,3190,0,0,0,1,,,175620506161115
Диски,1916685,2001916685,Akojant,Сталь,13378,Akojant Сталь 6x17.5 6x222.25 ET118 DIA164,Akojant Сталь 6x17.5 6x222.25 ET118 DIA164,Akojant Сталь (R17.5 W6 PCD6x222.25 ET118 DIA164),6,"17,5","222,25",0,118,164,,,,стальной,1,6,6x222.25,1724,100Шин,Одесса,Одеса,od_100Шин,25354,2022-10-04 09:21,2,3320,3320,uah,0,3320,0,0,0,1,,,17562222506164118
Диски,1916686,2001916686,Akojant,Сталь,13378,Akojant Сталь 6.75x17.5 6x205 ET128 DIA161,Akojant Сталь 6.75x17.5 6x205 ET128 DIA161,Akojant Сталь (R17.5 W6.75 PCD6x205 ET128 DIA161),"6,75","17,5",205,0,128,161,,,,стальной,1,6,6x205,1724,100Шин,Одесса,Одеса,od_100Шин,26932,2022-10-04 09:21,8,1900,1900,uah,0,1900,0,0,0,1,,,17567520506161128
Диски,1916472,2001916472,SUDRAD,Сталь,13381,SUDRAD Сталь 11.75x19.5 10x335 ET0 DIA281,SUDRAD Сталь 11.75x19.5 10x335 ET0 DIA281,SUDRAD Сталь (R19.5 W11.75 PCD10x335 ET0 DIA281),"11,75","19,5",335,0,0,281,,,,литой,3,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,51,2022-10-04 09:21,2,5380,5380,uah,0,5380,0,0,0,1,,,19511753350102810
Диски,1916654,2001916654,Strong,Сталь,13382,Strong Сталь 11.75x22.5 10x335 ET0 DIA281 S,Strong Сталь 11.75x22.5 10x335 ET0 DIA281 Silver (Серебро),Strong Сталь (R22.5 W11.75 PCD10x335 ET0 DIA281 S),"11,75","22,5",335,0,0,281,Silver (Серебро),S,64,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,13234,2022-10-04 09:21,1,5400,5400,uah,0,5400,0,0,0,1,disk/13382.64.400x400.jpg,disk/13382.64.400x400.jpg,22511753350102810
Диски,1916655,2001916655,Strong,Сталь,13382,Strong Сталь 6x17.5 6x205 ET127 DIA161 S,Strong Сталь 6x17.5 6x205 ET127 DIA161 Silver (Серебро),Strong Сталь (R17.5 W6 PCD6x205 ET127 DIA161 S),6,"17,5",205,0,127,161,Silver (Серебро),S,64,стальной,1,6,6x205,1724,100Шин,Одесса,Одеса,od_100Шин,19821,2022-10-04 09:21,6,3130,3130,uah,0,3130,0,0,0,1,disk/13382.64.400x400.jpg,disk/13382.64.400x400.jpg,175620506161127
Диски,1916657,2001916657,Strong,Сталь,13382,Strong Сталь 6x17.5 6x222.25 ET127 DIA164 S,Strong Сталь 6x17.5 6x222.25 ET127 DIA164 Silver (Серебро),Strong Сталь (R17.5 W6 PCD6x222.25 ET127 DIA164 S),6,"17,5","222,25",0,127,164,Silver (Серебро),S,64,стальной,1,6,6x222.25,1724,100Шин,Одесса,Одеса,od_100Шин,25466,2022-10-04 09:21,14,2900,2900,uah,0,2900,0,0,0,1,disk/13382.64.400x400.jpg,disk/13382.64.400x400.jpg,17562222506164127
Диски,1917193,2001917193,Strong,Сталь,13382,Strong Сталь 8.25x22.5 10x285.75 ET169 DIA220 S,Strong Сталь 8.25x22.5 10x285.75 ET169 DIA220 Silver (Серебро),Strong Сталь (R22.5 W8.25 PCD10x285.75 ET169 DIA220 S),"8,25","22,5","285,75",0,169,220,Silver (Серебро),S,64,стальной,1,10,10x285.75,1724,100Шин,Одесса,Одеса,od_100Шин,25465,2022-10-04 09:21,11,5190,5190,uah,0,5190,0,0,0,1,disk/13382.64.400x400.jpg,disk/13382.64.400x400.jpg,22582528575010220169
Диски,1916659,2001916659,Кременчуг,Сталь,13415,Кременчуг Сталь 11.75x22.5 10x335 ET0 DIA281 S,Кременчуг Сталь 11.75x22.5 10x335 ET0 DIA281 Silver (Серебро),Кременчуг Сталь (R22.5 W11.75 PCD10x335 ET0 DIA281 S),"11,75","22,5",335,0,0,281,Silver (Серебро),S,64,стальной,1,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,82,2022-10-04 09:21,2,4800,4800,uah,0,4800,0,0,0,1,disk/13415.64.400x400.jpg,disk/13415.64.400x400.jpg,22511753350102810
Диски,1927595,2001927595,LORRY,Сталь,15649,LORRY Сталь 11.75x22.5 10x335 ET0 DIA281,LORRY Сталь 11.75x22.5 10x335 ET0 DIA281,LORRY Сталь (R22.5 W11.75 PCD10x335 ET0 DIA281),"11,75","22,5",335,0,0,281,,,,,,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,27942,2022-10-04 09:21,8,5750,5750,uah,0,5750,0,0,0,1,,,22511753350102810
Диски,1927596,2001927596,LORRY,Сталь,15649,LORRY Сталь 9x22.5 10x335 ET175 DIA281,LORRY Сталь 9x22.5 10x335 ET175 DIA281,LORRY Сталь (R22.5 W9 PCD10x335 ET175 DIA281),9,"22,5",335,0,175,281,,,,,,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,27943,2022-10-04 09:21,18,4750,4750,uah,0,4750,0,0,0,1,,,2259335010281175
Диски,1927597,2001927597,LORRY,Сталь,15649,LORRY Сталь 11.75x22.5 10x335 ET135 DIA281,LORRY Сталь 11.75x22.5 10x335 ET135 DIA281,LORRY Сталь (R22.5 W11.75 PCD10x335 ET135 DIA281),"11,75","22,5",335,0,135,281,,,,,,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,28021,2022-10-04 09:21,10,5500,5500,uah,0,5500,0,0,0,1,,,2251175335010281135
Диски,1927598,2001927598,LORRY,Сталь,15649,LORRY Сталь 11.75x22.5 10x335 ET120 DIA281,LORRY Сталь 11.75x22.5 10x335 ET120 DIA281,LORRY Сталь (R22.5 W11.75 PCD10x335 ET120 DIA281),"11,75","22,5",335,0,120,281,,,,,,10,10x335,1724,100Шин,Одесса,Одеса,od_100Шин,28161,2022-10-04 09:21,20,5250,5250,uah,0,5250,0,0,0,1,,,2251175335010281120
